sandwich_id,pair,block_number,timestamp,victim_tx,victim_sender,victim_to,victim_entity,tx_index,log_index,direction,amount0_in,amount1_in,amount0_out,amount1_out,gas_price
83,WETH_USDC,15524252,1663033899,0xd718f3431266d9a841234a1724ff7d5544545b53efac0a5a566918bcac3b9f8d,0x1111111254fb6c44bac0bed2854e76f90643097d,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1111111254fb6c44bac0bed2854e76f90643097d,125,254,0,178425000.0,0.0,0.0,1.0535736765587952e+17,7799150549.0
84,WETH_USDC,15548354,1663357715,0x7c2aee3db5ce1156d25debd294aca38708fb83e0a33f3c9fe1bd18bdd84b0178,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,0x1111111254fb6c44bac0bed2854e76f90643097d,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,152,336,1,0.0,7960000000000000.0,11361422.0,0.0,9068346523.0
85,WETH_USDC,15549093,1663366691,0xc3d773b25ab8890334fd7b002d4cd3b6e4bce0efc9243576a3e8764caec2a19b,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff,80,158,0,11302660.0,0.0,0.0,7834578448528709.0,7748874495.0
86,WETH_USDC,15574267,1663671743,0x1d936f2969e65b5117d5c3133855b671e1c58318e4ebc827c6cf3529d7b895b0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x5ad7452ceafdaeb0936507d5bb5890964ef56bd3,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,19,69,1,0.0,1.5502277577761564e+18,2099341209.0,0.0,6067639471.0
87,WETH_USDC,15598261,1663962815,0x16da423311579fc94944e4cb7f4d5458e1ca7300a595a7ebdf7d5f190b6eff44,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x11181bd3baf5ce2a478e98361985d42625de35d1,0xdef1c0ded9bec7f1a1670819833240f027b25eff,70,98,1,0.0,2.97375e+16,38217395.0,0.0,6878426939.0
88,WETH_USDC,15598302,1663963307,0x9c745d00fc60ade158375b7a7d90d0b9f2dec160b3fdce43f972b97a25a943ad,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0x67cea36eeb36ace126a3ca6e21405258130cf33c,94,225,1,0.0,4.4500000000000015e+18,5721869368.0,0.0,7546272227.0
89,WETH_USDC,15598723,1663968371,0x64411f308c80aca6e9687899bbeb3dbe8df0950e9c9af18263170a3b8c741800,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x524847c615639e76fe7d0fe0b16be8c4eac9cf3c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,109,295,1,0.0,1.843404681397351e+16,23972141.0,0.0,9400977318.0
90,WETH_USDC,15623676,1664269415,0x831eb89851bd2afe89ed0fe55569d5024d059eb754f62a20eb25df38d01506b0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6b14b204a1e108eed241c34bd6c801003450e2ac,0x6b14b204a1e108eed241c34bd6c801003450e2ac,1,11,1,0.0,2e+17,275012029.0,0.0,12594002141.0
91,WETH_USDC,15623819,1664271155,0x5ff9112be4de004418ccef2bd68956ae6687acd03ccb1f2508618010ac4102e2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,307,393,0,24756586.0,0.0,0.0,1.7887481771038168e+16,8000000000.0
92,WETH_USDC,15773352,1666076315,0xd9d79db5aaf79bc4a0af8bd4e623b0084a02f18640fa4eeeacda16ed5e27b6f9,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,45,280,1,0.0,1.169675e+17,155830537.0,0.0,15134374926.0
93,WETH_USDC,15848759,1666986611,0x614a6d83c62110551cacce62c19227339066f3418313430b44a3f3cf3833c894,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,217,468,0,140150000.0,0.0,0.0,9.001242364871936e+16,15545537933.0
94,WETH_USDC,15848762,1666986647,0xe508203ac667903baa0aaf9a23012af0f3578b5f20163516e5ee5383c54ef498,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xfee8f24bdb6935d2fb9061cf26b98b271aaf9479,0xdef1c0ded9bec7f1a1670819833240f027b25eff,37,52,1,0.0,2.548976064728544e+16,39457115.0,0.0,17317821756.0
95,WETH_USDC,15899015,1667593391,0xc8ed8c09fd0072c2d860a67ce9a69552881b9c07e78c0664ecaedcf9e70ba203,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,0x1111111254fb6c44bac0bed2854e76f90643097d,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,61,135,1,0.0,9950000000000000.0,16320312.0,0.0,17849983063.0
96,WETH_USDC,15899054,1667593859,0x2a3b0a08c6f5888531d19a8830b5a514eeb7a0cedbd55e3d37e0be1377b2de06,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xdef1c0ded9bec7f1a1670819833240f027b25eff,9,66,1,0.0,1.9825e+16,32503847.0,0.0,19238333425.0
97,WETH_USDC,15948459,1668190043,0x4d53254693cb8dfbe03f5005eee6131383e88d95a912024d70aa98704ad2b855,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4d42fd2fe2eb1e4c7eec64272a1f715dce0ea535,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,127,271,1,0.0,9.602587865262566e+16,122448747.0,0.0,30021105990.0
98,WETH_USDC,15998352,1668792035,0xe6395e2892dfa92f7e5fbc10cbee3cc784d7329d02cc21b20100eb8374aa33c8,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,149,108,0,94901471.0,0.0,0.0,7.874285228424755e+16,19689096166.0
